"filename", "language", "Python", "comment", "blank", "total"
"/home/kraslo/TFG/code/api_server/app/__init__.py", "Python", 0, 0, 1, 1
"/home/kraslo/TFG/code/api_server/app/api/__init__.py", "Python", 0, 0, 1, 1
"/home/kraslo/TFG/code/api_server/app/api/dependencies.py", "Python", 20, 5, 7, 32
"/home/kraslo/TFG/code/api_server/app/api/v1/__init__.py", "Python", 0, 0, 1, 1
"/home/kraslo/TFG/code/api_server/app/api/v1/endpoints/__init__.py", "Python", 0, 0, 1, 1
"/home/kraslo/TFG/code/api_server/app/api/v1/router.py", "Python", 0, 0, 1, 1
"/home/kraslo/TFG/code/api_server/app/core/__init__.py", "Python", 0, 0, 1, 1
"/home/kraslo/TFG/code/api_server/app/core/config.py", "Python", 0, 0, 1, 1
"/home/kraslo/TFG/code/api_server/app/core/security.py", "Python", 0, 0, 1, 1
"/home/kraslo/TFG/code/api_server/app/main.py", "Python", 37, 6, 16, 59
"/home/kraslo/TFG/code/api_server/app/models/__init__.py", "Python", 0, 0, 1, 1
"/home/kraslo/TFG/code/api_server/app/models/db_models.py", "Python", 22, 0, 10, 32
"/home/kraslo/TFG/code/api_server/app/models/models.py", "Python", 14, 2, 8, 24
"/home/kraslo/TFG/code/api_server/app/routers/__init__.py", "Python", 0, 0, 1, 1
"/home/kraslo/TFG/code/api_server/app/routers/admin_router.py", "Python", 0, 0, 1, 1
"/home/kraslo/TFG/code/api_server/app/routers/moral_annotator_router.py", "Python", 204, 14, 50, 268
"/home/kraslo/TFG/code/api_server/app/services/fetch_news_service.py", "Python", 62, 1, 24, 87
"Total", "-", 359, 28, 126, 513
