"filename", "language", "Python", "comment", "blank", "total"
"/mnt/c/Users/ignacio.escribano_bl/OneDrive/TFG/code/fetcher/src/app/__init__.py", "Python", 0, 0, 1, 1
"/mnt/c/Users/ignacio.escribano_bl/OneDrive/TFG/code/fetcher/src/app/main.py", "Python", 60, 8, 14, 82
"/mnt/c/Users/ignacio.escribano_bl/OneDrive/TFG/code/fetcher/src/handlers/__init__.py", "Python", 0, 0, 1, 1
"/mnt/c/Users/ignacio.escribano_bl/OneDrive/TFG/code/fetcher/src/handlers/fuseki_handler.py", "Python", 45, 20, 11, 76
"/mnt/c/Users/ignacio.escribano_bl/OneDrive/TFG/code/fetcher/src/handlers/postgre1_handler.py", "Python", 22, 7, 6, 35
"/mnt/c/Users/ignacio.escribano_bl/OneDrive/TFG/code/fetcher/src/models/__init__.py", "Python", 0, 0, 1, 1
"/mnt/c/Users/ignacio.escribano_bl/OneDrive/TFG/code/fetcher/src/models/models.py", "Python", 27, 2, 13, 42
"/mnt/c/Users/ignacio.escribano_bl/OneDrive/TFG/code/fetcher/src/services/__init__.py", "Python", 0, 0, 1, 1
"/mnt/c/Users/ignacio.escribano_bl/OneDrive/TFG/code/fetcher/src/services/fetch_news.py", "Python", 35, 19, 13, 67
"/mnt/c/Users/ignacio.escribano_bl/OneDrive/TFG/code/fetcher/src/services/insert_annotations.py", "Python", 69, 14, 16, 99
"/mnt/c/Users/ignacio.escribano_bl/OneDrive/TFG/code/fetcher/src/services/insert_fuseki.py", "Python", 59, 205, 13, 277
"/mnt/c/Users/ignacio.escribano_bl/OneDrive/TFG/code/fetcher/src/services/llm_service.py", "Python", 31, 10, 7, 48
"/mnt/c/Users/ignacio.escribano_bl/OneDrive/TFG/code/fetcher/src/services/moral_annotations.py", "Python", 35, 17, 12, 64
"/mnt/c/Users/ignacio.escribano_bl/OneDrive/TFG/code/fetcher/src/utils/article_processing.py", "Python", 19, 3, 6, 28
"/mnt/c/Users/ignacio.escribano_bl/OneDrive/TFG/code/fetcher/src/utils/logging_config.py", "Python", 38, 1, 8, 47
"/mnt/c/Users/ignacio.escribano_bl/OneDrive/TFG/code/fetcher/src/utils/moral_annotation.py", "Python", 108, 75, 32, 215
"Total", "-", 548, 381, 155, 1084
