"filename", "language", "Python", "comment", "blank", "total"
"/home/kraslo/TFG/code/fetcher/src/tfg_fetcher/__init__.py", "Python", 1, 4, 2, 7
"/home/kraslo/TFG/code/fetcher/src/tfg_fetcher/app/__init__.py", "Python", 0, 0, 1, 1
"/home/kraslo/TFG/code/fetcher/src/tfg_fetcher/app/main.py", "Python", 71, 5, 8, 84
"/home/kraslo/TFG/code/fetcher/src/tfg_fetcher/handlers/__init__.py", "Python", 0, 0, 1, 1
"/home/kraslo/TFG/code/fetcher/src/tfg_fetcher/handlers/fuseki_handler.py", "Python", 58, 3, 13, 74
"/home/kraslo/TFG/code/fetcher/src/tfg_fetcher/handlers/postgre1_handler.py", "Python", 22, 7, 6, 35
"/home/kraslo/TFG/code/fetcher/src/tfg_fetcher/models/__init__.py", "Python", 0, 0, 1, 1
"/home/kraslo/TFG/code/fetcher/src/tfg_fetcher/models/models.py", "Python", 44, 2, 15, 61
"/home/kraslo/TFG/code/fetcher/src/tfg_fetcher/services/__init__.py", "Python", 0, 0, 1, 1
"/home/kraslo/TFG/code/fetcher/src/tfg_fetcher/services/fetch_news.py", "Python", 59, 26, 19, 104
"/home/kraslo/TFG/code/fetcher/src/tfg_fetcher/services/insert_annotations.py", "Python", 59, 14, 18, 91
"/home/kraslo/TFG/code/fetcher/src/tfg_fetcher/services/insert_fuseki.py", "Python", 268, 29, 58, 355
"/home/kraslo/TFG/code/fetcher/src/tfg_fetcher/services/llm_service.py", "Python", 46, 11, 11, 68
"/home/kraslo/TFG/code/fetcher/src/tfg_fetcher/services/moral_annotations.py", "Python", 30, 21, 13, 64
"/home/kraslo/TFG/code/fetcher/src/tfg_fetcher/utils/__init__.py", "Python", 0, 0, 1, 1
"/home/kraslo/TFG/code/fetcher/src/tfg_fetcher/utils/article_processing.py", "Python", 19, 3, 7, 29
"/home/kraslo/TFG/code/fetcher/src/tfg_fetcher/utils/logging_config.py", "Python", 40, 1, 9, 50
"/home/kraslo/TFG/code/fetcher/src/tfg_fetcher/utils/moral_annotation.py", "Python", 108, 75, 32, 215
"/mnt/c/Users/ignacio.escribano_bl/OneDrive/TFG/code/fetcher/src/app/__init__.py", "Python", 0, 0, -1, -1
"/mnt/c/Users/ignacio.escribano_bl/OneDrive/TFG/code/fetcher/src/app/main.py", "Python", -71, -3, -8, -82
"/mnt/c/Users/ignacio.escribano_bl/OneDrive/TFG/code/fetcher/src/handlers/__init__.py", "Python", 0, 0, -1, -1
"/mnt/c/Users/ignacio.escribano_bl/OneDrive/TFG/code/fetcher/src/handlers/fuseki_handler.py", "Python", -45, -3, -14, -62
"/mnt/c/Users/ignacio.escribano_bl/OneDrive/TFG/code/fetcher/src/handlers/postgre1_handler.py", "Python", -22, -7, -6, -35
"/mnt/c/Users/ignacio.escribano_bl/OneDrive/TFG/code/fetcher/src/models/__init__.py", "Python", 0, 0, -1, -1
"/mnt/c/Users/ignacio.escribano_bl/OneDrive/TFG/code/fetcher/src/models/models.py", "Python", -27, -2, -13, -42
"/mnt/c/Users/ignacio.escribano_bl/OneDrive/TFG/code/fetcher/src/services/__init__.py", "Python", 0, 0, -1, -1
"/mnt/c/Users/ignacio.escribano_bl/OneDrive/TFG/code/fetcher/src/services/fetch_news.py", "Python", -46, -21, -15, -82
"/mnt/c/Users/ignacio.escribano_bl/OneDrive/TFG/code/fetcher/src/services/insert_annotations.py", "Python", -69, -14, -16, -99
"/mnt/c/Users/ignacio.escribano_bl/OneDrive/TFG/code/fetcher/src/services/insert_fuseki.py", "Python", -181, -21, -44, -246
"/mnt/c/Users/ignacio.escribano_bl/OneDrive/TFG/code/fetcher/src/services/llm_service.py", "Python", -31, -10, -7, -48
"/mnt/c/Users/ignacio.escribano_bl/OneDrive/TFG/code/fetcher/src/services/moral_annotations.py", "Python", -34, -17, -12, -63
"/mnt/c/Users/ignacio.escribano_bl/OneDrive/TFG/code/fetcher/src/utils/article_processing.py", "Python", -19, -3, -6, -28
"/mnt/c/Users/ignacio.escribano_bl/OneDrive/TFG/code/fetcher/src/utils/logging_config.py", "Python", -38, -1, -8, -47
"/mnt/c/Users/ignacio.escribano_bl/OneDrive/TFG/code/fetcher/src/utils/moral_annotation.py", "Python", -108, -75, -32, -215
"Total", "-", 134, 24, 31, 189
